shop_id,name,category,age,style
1,Edna,의류,20대 중반/20대 후반/30대 초반,모던시크/러블리
2,Pam,의류,20대 중반/20대 후반/30대 초반,러블리/심플베이직
3,Carolyn,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
4,Joan,의류,30대 초반/30대 중반,미시스타일/유니크
5,Florene,의류,20대 중반/20대 후반/30대 초반,심플베이직/헐리웃스타일
6,Ashley,의류,20대 중반/20대 후반/30대 초반,심플베이직/러블리
7,Sharilyn,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
8,Kelli,의류,30대 초반/30대 중반/30대 후반,모던시크/미시스타일
9,Marth,의류,20대 후반/30대 초반/30대 중반,미시스타일/심플베이직
10,Alexandra,의류,30대 초반/30대 중반/30대 후반,심플베이직/모던시크
11,Christine,의류,20대 초반/20대 중반/20대 후반,모던시크/심플베이직
12,Rachel,의류,10대/20대 초반,러블리/심플베이직
13,Laurie,의류,20대 초반/20대 중반/20대 후반,페미닌/로맨틱
14,Marlene,의류,20대 초반/20대 중반/20대 후반,유니크/심플베이직
15,Lorena,의류,20대 후반/30대 초반/30대 중반,러블리/오피스룩
16,Elizabeth,의류,30대 초반/30대 중반/30대 후반,심플베이직/미시스타일
17,Kathrine,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
18,Heidi,의류,20대 중반/20대 후반/30대 초반,모던시크/페미닌
19,Cynthia,의류,20대 초반/20대 중반/20대 후반,섹시글램/페미닌
20,Katie,의류,20대 중반/20대 후반/30대 초반,유니크/모던시크
21,Marilyn,의류,20대 중반/20대 후반/30대 초반,심플베이직/유니크
22,Norma,의류,10대/20대 초반/20대 중반,심플베이직/러블리
23,Jennie,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
24,Lillian,의류,30대 초반/30대 중반/30대 후반,심플베이직/러블리
25,Dina,의류,20대 중반/20대 후반/30대 초반,모던시크/러블리
26,Lucille,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
27,Irma,의류,20대 후반/30대 초반/30대 중반,페미닌/섹시글램
28,Treva,의류,20대 초반/20대 중반/20대 후반,러블리/심플베이직
29,Sandra,의류,20대 중반/20대 후반/30대 초반,페미닌/로맨틱
30,Bernita,의류,20대 후반/30대 초반/30대 중반,페미닌/모던시크
31,Louise,의류,20대 후반/30대 초반/30대 중반,페미닌/미시스타일
32,Delmy,의류,20대 초반/20대 중반/20대 후반,심플베이직/러블리
33,April,의류,20대 중반/20대 후반/30대 초반,심플베이직/페미닌
34,Virginia,의류,30대 초반/30대 중반/30대 후반,심플베이직/러블리
35,Blanche,의류,30대 초반/30대 중반/30대 후반,모던시크/심플베이직
36,Ella,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
37,Stephany,의류,20대 중반/20대 후반/30대 초반,페미닌/로맨틱
38,Mabel,의류,20대 후반/30대 초반/30대 중반,모던시크/페미닌
39,Elisha,의류,20대 후반/30대 초반,모던시크/심플베이직
40,Leslie,의류,30대 초반/30대 중반/30대 후반,심플베이직/페미닌
41,Mildred,의류,10대/20대 초반/20대 중반,러블리/캠퍼스룩
42,Carmen,의류,10대/20대 초반/20대 중반,심플베이직/러블리
43,Robin,의류,20대 초반/20대 중반/20대 후반,캠퍼스룩/심플베이직
44,May,의류,10대/20대 초반/20대 중반,심플베이직/러블리
45,Jennifer,의류,10대/20대 초반/20대 중반,심플베이직/캠퍼스룩
46,Elayne,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
47,Katrina,빅사이즈,,미시스타일
48,Natalie,의류,30대 초반/30대 중반/30대 후반,미시스타일/로맨틱
49,Marjorie,의류,30대 초반/30대 중반,모던시크/미시스타일
50,Leigh,의류,20대 후반/30대 초반/30대 중반,모던시크/페미닌
51,Ann,의류,30대 초반/30대 중반/30대 후반,미시스타일/심플베이직
52,Crystal,빅사이즈,,러블리
53,Stacy,란제리&파자마,,
54,Lynn,의류,20대 후반/30대 초반/30대 중반,유니크/모던시크
55,Alison,빅사이즈,,심플베이직
56,Petra,의류,30대 초반/30대 중반/30대 후반,모던시크/럭셔리
57,Carol,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
58,Nicole,의류,30대 중반/30대 후반,미시스타일/모던시크
59,Dodie,슈즈,,
60,Leticia,의류,10대/20대 초반/20대 중반,러블리/섹시글램
61,Letha,의류,20대 중반/20대 후반/30대 초반,심플베이직/모던시크
62,Estelle,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
63,Angela,슈즈,,
64,Theodora,슈즈,,
65,Marie,슈즈,,
66,Margarita,슈즈,,
67,Katherine,슈즈,,
68,Delores,슈즈,,
69,Iva,슈즈,,
70,Hazel,액세서리,,페미닌
71,Amber,액세서리,,심플시크
72,Antonia,가방,,
73,Audrey,의류,20대 중반/20대 후반/30대 초반,페미닌/섹시글램
74,Anne,의류,10대/20대 초반/20대 중반,스쿨룩/캠퍼스룩
75,Suzanne,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
76,Kathleen,의류,20대 후반/30대 초반/30대 중반,섹시글램/페미닌
77,Elinor,의류,10대/20대 초반/20대 중반,캠퍼스룩/심플베이직
78,Linda,비치웨어,,
79,Julia,비치웨어,,
80,Beverly,의류,20대 중반/20대 후반/30대 초반,모던시크/페미닌
81,Debra,의류,20대 후반/30대 초반/30대 중반,모던시크/럭셔리
82,Ursula,의류,20대 후반/30대 초반/30대 중반,모던시크/페미닌
83,Christina,의류,20대 초반/20대 중반/20대 후반,러블리/심플베이직
84,Jasmine,의류,10대/20대 초반/20대 중반,캠퍼스룩/심플베이직
85,Lois,의류,20대 초반/20대 중반,심플베이직/모던시크
86,Corrie,란제리&파자마,,
87,Shannon,임부복,,
88,Sarah,의류,20대 후반/30대 초반/30대 중반,로맨틱/페미닌
89,Margaret,의류,10대/20대 초반/20대 중반,빈티지/유니크
90,Nora,의류,20대 초반/20대 중반,유니크/심플베이직
91,Sonia,액세서리,,큐티
92,Kimberly,의류,10대/20대 초반/20대 중반,러블리/로맨틱
93,Denise,의류,20대 초반/20대 중반/20대 후반,러블리/모던시크
94,Eun,의류,10대/20대 초반/20대 중반,심플베이직/모던시크
95,Ethel,빅사이즈,,미시스타일
96,Kimberley,슈즈,,
97,Connie,의류,20대 후반/30대 초반/30대 중반,심플베이직/모던시크
98,Etta,의류,20대 후반/30대 초반/30대 중반,오피스룩/페미닌
99,Karen,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
100,Jamie,비치웨어,,
101,Caridad,의류,20대 초반/20대 중반/20대 후반,러블리/심플베이직
102,Patsy,액세서리,,페미닌
103,Sue,빅사이즈,,미시스타일
104,Erin,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
105,Sherry,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
106,Bernice,의류,20대 후반/30대 초반/30대 중반,섹시글램/페미닌
107,Annie,패션소품,,
108,Jeanne,의류,20대 후반/30대 초반/30대 중반,페미닌/모던시크
109,Rosa,란제리&파자마,,
110,Cecila,의류,20대 중반/20대 후반,모던시크/빈티지
111,Florence,의류,20대 후반/30대 초반/30대 중반,심플베이직/페미닌
112,Aileen,의류,20대 후반/30대 초반/30대 중반,헐리웃스타일/럭셔리
113,Amparo,슈즈,,
114,Marvella,란제리&파자마,,
115,Mitzi,의류,20대 중반/20대 후반/30대 초반,심플베이직/모던시크
116,Angelia,의류,10대/20대 초반/20대 중반,심플베이직/유니크
117,Charlotte,의류,20대 후반/30대 초반/30대 중반,오피스룩/페미닌
118,Beth,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
119,Nina,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
120,Reyna,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
121,Collette,의류,20대 중반/20대 후반/30대 초반,모던시크/유니크
122,Leah,빅사이즈,,모던시크
123,Leta,액세서리,,심플시크
124,Michelle,의류,10대/20대 초반/20대 중반,심플베이직/캠퍼스룩
125,Arleen,의류,20대 초반/20대 중반/20대 후반,섹시글램/페미닌
126,Edie,란제리&파자마,,
127,Dawn,액세서리,,키치
128,Nellie,의류,20대 중반/20대 후반/30대 초반,섹시글램/페미닌
129,Regina,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
130,Araceli,커플룩,,심플베이직
131,Haydee,의류,20대 후반/30대 초반/30대 중반,로맨틱/심플베이직
132,Cheryl,의류,30대 중반/30대 후반,럭셔리/페미닌
133,Pearl,피트니스,,
134,Paula,의류,10대/20대 초반/20대 중반,빈티지/유니크
135,Melanie,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
136,Frances,의류,20대 초반/20대 중반,심플베이직/모던시크
137,Lindsey,의류,20대 중반/20대 후반/30대 초반,심플베이직/페미닌
138,Mirna,의류,10대/20대 초반,유니크/러블리
139,Ngoc,의류,20대 중반/20대 후반/30대 초반,페미닌/로맨틱
140,Geraldine,패션소품,,
141,Sasha,의류,10대/20대 초반/20대 중반,러블리/캠퍼스룩
142,Donna,가방,,
143,Pat,의류,20대 초반/20대 중반/20대 후반,섹시글램/페미닌
144,Tiffany,슈즈,,
145,Eleanor,의류,20대 초반/20대 중반/20대 후반,유니크/심플베이직
146,Dottie,의류,20대 중반/20대 후반/30대 초반,심플베이직/페미닌
147,Erma,패션소품,,
148,Myrtle,의류,30대 초반/30대 중반/30대 후반,미시스타일/모던시크
149,Isabel,빅사이즈,,미시스타일
150,Ana,가방,,
151,Janice,의류,10대/20대 초반/20대 중반,심플베이직/캠퍼스룩
152,Fidelia,의류,20대 초반/20대 중반/20대 후반,심플베이직/모던시크
153,Joleen,의류,10대/20대 초반/20대 중반,유니크/빈티지
154,Allison,의류,20대 중반/20대 후반/30대 초반,유니크/빈티지
155,Edith,피트니스,,
156,Diana,피트니스,,
157,Erna,피트니스,,
158,Sharon,의류,20대 후반/30대 초반/30대 중반,모던시크/심플베이직
159,Rose,액세서리,,페미닌
160,Era,의류,20대 후반/30대 초반/30대 중반,섹시글램/페미닌
161,Norman,의류,20대 초반/20대 중반/20대 후반,러블리/페미닌
162,Keisha,의류,20대 중반/20대 후반/30대 초반,모던시크/심플베이직
163,Eboni,의류,20대 초반/20대 중반/20대 후반,심플베이직/유니크
164,Meagan,액세서리,,페미닌
165,Gloria,빅사이즈,,미시스타일
166,Dorothea,의류,20대 후반/30대 초반/30대 중반,러블리/유니크
167,Harriett,의류,10대/20대 초반/20대 중반,심플베이직/유니크
168,Vera,의류,30대 초반/30대 중반/30대 후반,로맨틱/페미닌
169,Marian,의류,20대 후반/30대 초반/30대 중반,페미닌/심플베이직
170,Pinkie,의류,20대 초반/20대 중반/20대 후반,심플베이직/러블리
171,Emily,의류,20대 초반/20대 중반/20대 후반,심플베이직/페미닌
172,Maryann,슈즈,,
173,Akiko,패션소품,,
174,Jayne,빅사이즈,,미시스타일
175,Sherri,피트니스,,
176,Deborah,의류,10대/20대 초반,러블리/캠퍼스룩
177,Catherine,의류,20대 초반/20대 중반/20대 후반,심플베이직/러블리
178,Lisa,의류,20대 초반/20대 중반/20대 후반,러블리/로맨틱
179,Evelyn,슈즈,,
180,Queen,의류,20대 초반/20대 중반/20대 후반,러블리/캠퍼스룩
181,Bertha,의류,20대 초반/20대 중반/20대 후반,심플베이직/러블리
182,Lola,패션소품,,
183,Jill,패션소품,,
184,Jordan,의류,20대 중반/20대 후반/30대 초반,러블리/심플베이직
185,Tonya,의류,10대/20대 초반/20대 중반,심플베이직/러블리
186,Jacqueline,의류,20대 중반/20대 후반/30대 초반,러블리/유니크
187,Mary,의류,20대 초반/20대 중반/20대 후반,빈티지/유니크
188,Anna,슈즈,,
189,Shari,의류,20대 초반/20대 중반/20대 후반,유니크/섹시글램
190,Ida,의류,20대 초반/20대 중반/20대 후반,심플베이직/모던시크
191,Tina,의류,20대 후반/30대 초반/30대 중반,오피스룩/럭셔리
192,Megan,의류,10대/20대 초반/20대 중반,심플베이직/러블리
193,Dorothy,액세서리,,페미닌
194,Ruthie,의류,20대 중반/20대 후반/30대 초반,페미닌/러블리
195,Lucy,피트니스,,
196,Martha,패션소품,,
197,Romona,의류,20대 초반/20대 중반/20대 후반,유니크/빈티지
198,Samantha,란제리&파자마,,
199,Carole,액세서리,,볼드&에스닉
200,Sara,피트니스,,
